"Not a Smartlook user yet?", "Ještě nejste uživatelem Smartlook?"
"Hide", "Skrýt"
"Show", "Zobrazit"
"Settings", "Nastavení"
"Yes", "Ano"
"No", "Ne"
"Enabled", "Povoleno"
"Enable recording on website.", "Povolit nahrávaní na webu."
"Smartlook code", "Smartlook kód"
"Smartlook code assigned to your account.","Smartlook kód přiřazen k vašemu účtu."
"Customer info", "Zákaznické info"
"Show info about your customers (name, email, etc.) in Smartlook dashboard, where your agents can see it. You will find customer info in the right panel while recording.", "Zobrazte si info o vašich zákaznících (jméno, email, atď.) ve Smartlook dashboardu, kde ho uvidí vaši operátoři. Zákaznické info najdete v pravém panelu, když nahrávate."
"Name", "Jméno a příjmení"
"Shows customer's display name.", "Zobrazit jméno a příjmení zákazníka."
"Email", "Email"
"Shows customer's email.", "Zobrazit email zákazníka."
